Text,Label
Keep it up bro...... always pukuli🤣🤣🤣,Not Tulu
Nxt comedy film geppanaga umben seravarle iyavu 😂😂😂,Positive
How Nepal is connected with Mangalore. Music has no barriers 🤣,Not Tulu
papa mare imbena maya athna pukulin vapas korad,Mixed
"ತುಲು ಪುರ್ಪಗ್ ಬತ್ತ್ಂಡ್ ಅಸ್ಸಾಂ‌ದ ಮುಖ್ಯಮಂತ್ರಿಲೆನ ಉತ್ತರ

#Assam #AssamCM #JaiTulunad #TuluPurpa @CMOfficeAssam sir

 ",Neutral
Vivek sir fan ❤️,Not Tulu
superb permomance..keep it up,Not Tulu
Pukuli nadere battina tulund da matta bandhu naklu sald Bale yanla nadondulle😂🤣,Neutral
Tulu is a beautiful language. Malla laik undu arvind anna,Positive
spr ajji I like u,Positive
Dadaya namma oru gh batthina dhaaye pnth jaa rakshitha😢 sad it's me nazma,Negative
He is not santhu...santhu is that short guy who comes in eating challenge,Not Tulu
13:49 my favourite dialogue 😹😆,Not Tulu
Lokodu honey moongg oriye popere ithnda Avu Yaan matraa,Mixed
"ಬಂಟ್ವಾಳದ ಮುಟ್ಟಡ್ ಇಪ್ಪುನ ಶ್ರೀ ನರಹರಿ ಪರ್ವತ ಸದಾಶಿವ ದೇವಲ್ಯ ತುಳುನಾಡ್‌ದ ಪಿರಾಕ್‌ದ ದೇವಲ್ಯೊಲೆಡ್ ಒಂಜಿ. ಸುಮಾರ್ 1000 ಫೀಟ್ ಎತ್ತರ ಇಪ್ಪುನ ಈ ಪರ್ವತೊದ ಮಿತ್ತ್ ಶಂಖ, ಚಕ್ರ, ಗದಾ, ಪದ್ಮ ಪನ್ಪಿ 4 ಸೀರ್ತಕೆದುಕ್‌ಲ್ ಉಲ್ಲ.
#KooInTulu
#ನಮ್ಮ_ಊರು ",Neutral
Porlu uttu Kodagu aregowda  Love this song very much,Positive
Hahah Funny Stuff 👍👍👍🤣,Not Tulu
"RT @ArecaGo: ಪೊರ್ಲುಡು ಪೊರ್ಲು ಪೊರ್ಲು ಈ ತುಳುನಾಡ್ ಬೊಕ್ಕ ನಮ್ಮ ತುಳು ಭಾಷೆ.
ಮಾತ ತುಳುವೆರೆ, ನಮ ತುಳು ಭಾಷೆನ್ ಮಾತೆರ್ಲ ಸೇರ್ದ್ ಬೆಳೆಪಾಗ. ತುಳು ಭಾಷೆಗ್ ಮಾನ್ಯ…",Positive
Enchi pankda comedy,Negative
Worye worye bale... Naal Jana aapuji  classic,Mixed
U r too good Arpith.. 💕💕💕🥳🥳🥳,Not Tulu
Too good....bot back so many memories,Not Tulu
Edde msg koryar prasamsha..❤,Positive
"""Superrr song,, ❤️👌🔥""",Not Tulu
supar thull nattaka.,Positive
"Che nikulu baari jolly marre, niklna hoteld beleg sernda  yeddethe",Positive
"Can anyone say??""",
Well done Keep It up!!!,Not Tulu
p.p.pojari  manglore  namma tv gu  thanks   supppppper  progremm,Not Tulu
Kas ejjande boys yerla hotel popujer. Ponnulu mathra,Mixed
"Play your favourite games like Cricket, Rummy, Ludo, Snakes and Ladders, Housie Quiz,",Not Tulu
More than nepali people mangaleorns must have listened to this song more.,Not Tulu
