Id	Text	Label
SA_TU_01	keep it up bro always pukuli🤣🤣🤣	Not Tulu
SA_TU_02	nxt comedy film geppanaga umben seravarle iyavu 😂😂😂	Mixed
SA_TU_03	how nepal is connected with mangalore music has no barriers 🤣	Not Tulu
SA_TU_04	papa mare imbena maya athna pukulin vapas korad	Neutral
SA_TU_05	"ತುಲು ಪುರ್ಪಗ್ ಬತ್ತ್ಂಡ್ ಅಸ್ಸಾಂ‌ದ ಮುಖ್ಯಮಂತ್ರಿಲೆನ ಉತ್ತರ

     sir

 "	Not Tulu
SA_TU_06	vivek sir fan ❤️	Not Tulu
SA_TU_07	superb permomancekeep it up	Not Tulu
SA_TU_08	pukuli nadere battina tulund da matta bandhu naklu sald bale yanla nadondulle😂🤣	Neutral
SA_TU_09	tulu is a beautiful language malla laik undu arvind anna	Not Tulu
SA_TU_10	spr ajji i like u	Not Tulu
SA_TU_11	dadaya namma oru gh batthina dhaaye pnth jaa rakshitha😢 sad its me nazma	Not Tulu
SA_TU_12	he is not santhusanthu is that short guy who comes in eating challenge	Not Tulu
SA_TU_13	1349 my favourite dialogue 😹😆	Positive
SA_TU_14	lokodu honey moongg oriye popere ithnda avu yaan matraa	Mixed
SA_TU_15	"ಬಂಟ್ವಾಳದ ಮುಟ್ಟಡ್ ಇಪ್ಪುನ ಶ್ರೀ ನರಹರಿ ಪರ್ವತ ಸದಾಶಿವ ದೇವಲ್ಯ ತುಳುನಾಡ್‌ದ ಪಿರಾಕ್‌ದ ದೇವಲ್ಯೊಲೆಡ್ ಒಂಜಿ ಸುಮಾರ್ 1000 ಫೀಟ್ ಎತ್ತರ ಇಪ್ಪುನ ಈ ಪರ್ವತೊದ ಮಿತ್ತ್ ಶಂಖ ಚಕ್ರ ಗದಾ ಪದ್ಮ ಪನ್ಪಿ 4 ಸೀರ್ತಕೆದುಕ್‌ಲ್ ಉಲ್ಲ

ನಮ್ಮಊರು "	Neutral
SA_TU_16	porlu uttu kodagu aregowda  love this song very much	Positive
SA_TU_17	hahah funny stuff 👍👍👍🤣	Not Tulu
SA_TU_18	"rt  ಪೊರ್ಲುಡು ಪೊರ್ಲು ಪೊರ್ಲು ಈ ತುಳುನಾಡ್ ಬೊಕ್ಕ ನಮ್ಮ ತುಳು ಭಾಷೆ
ಮಾತ ತುಳುವೆರೆ ನಮ ತುಳು ಭಾಷೆನ್ ಮಾತೆರ್ಲ ಸೇರ್ದ್ ಬೆಳೆಪಾಗ ತುಳು ಭಾಷೆಗ್ ಮಾನ್ಯ…"	Positive
SA_TU_19	enchi pankda comedy	Neutral
SA_TU_20	worye worye bale naal jana aapuji  classic	Mixed
SA_TU_21	u r too good arpith 💕💕💕🥳🥳🥳	Not Tulu
SA_TU_22	too goodbot back so many memories	Not Tulu
SA_TU_23	edde msg koryar prasamsha❤	Positive
SA_TU_24	superrr song ❤️👌🔥	Not Tulu
SA_TU_25	supar thull nattaka	Mixed
SA_TU_26	che nikulu baari jolly marre niklna hoteld beleg sernda  yeddethe	Positive
SA_TU_27	can anyone say	Not Tulu
SA_TU_28	well done keep it up	Not Tulu
SA_TU_29	pppojari  manglore  namma tv gu  thanks   supppppper  progremm	Mixed
SA_TU_30	kas ejjande boys yerla hotel popujer ponnulu mathra	Negative
SA_TU_31	play your favourite games like cricket rummy ludo snakes and ladders housie quiz	Not Tulu
SA_TU_32	more than nepali people mangaleorns must have listened to this song more	Not Tulu
SA_TU_33	"ಕಳರಿದ ಮಲ್ಲಮಲ್ಲ ಬೀರೆರ್‌ಲಾ ಕಳರಿ ಕಲ್ಪೆರ ತುಳುನಾಡ್‌ಗ್ ಬರ್ಪೆದೆರ್ ಮುಲ್ತ ಕಳರಿದ ಶೈಲಿ ತುಳುನಾಡನ್ ಕಳರಿ ಬಾರಿ ಎಡ್ಡೆಂತಿನವುಂದ್ ಪನ್ಪೆದೆರ್

ನಿಕುಲೆಗ್ಗೊತ್ತುಂಡಾ "	Positive
SA_TU_34	"tulu letter ké ಕೇ കേ


 "	Neutral
SA_TU_35	best scene  really kanneer bathnd😢	Not Tulu
SA_TU_36	ಇರೆನೆರ್ದ್ ಸಂತುನ comedy ಸೂಪರ್ ಅಪುಂಡು ಮಾರೆ seriously	Positive
SA_TU_37	hera peri review bodu😂😂	Positive
SA_TU_38	eruna mala fen like in your acting ️️	Not Tulu
SA_TU_39	ನರಮಾನಿ ಏತ್ ಸ್ವಾರ್ಥಿ	Neutral
SA_TU_40	bro youre pukli is were now	Not Tulu
SA_TU_41	avvonji  santhu  n next episode  d thojpale 😂😂	Negative
SA_TU_42	suuuuuper bale telipuga	Positive
SA_TU_43	imbe yer ya moojikas daye	Neutral
SA_TU_44	meaningful word last panya	Neutral
SA_TU_45	enchina karmada best ever comedy	Neutral
SA_TU_46	dislike maltinaklen china g dakkodu😜	Neutral
SA_TU_47	solmelu tulunadeda matha kalavidereg🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼	Positive
SA_TU_48	gas paass aayi	Not Tulu
SA_TU_49	"ಎಕ್ಕಾರ್‌ಡ್ ಬಲೆ ತುಲು ಲಿಪಿ ಕಲ್ಪುಗ

            "	Neutral
SA_TU_50	yedde try but background music flop baka vonthe clear baka slow patherle nanala yedde avoli	Mixed
SA_TU_51	my native is mangaluru but iam professional event manager in reputed event firm since 2004	Positive
SA_TU_52	padhyana ganapathi bhagavathike	Mixed
SA_TU_53	pukuli ganesh na pukuli	Neutral
SA_TU_54	masth porludha conceptthanks	Positive
SA_TU_55	plz video clip upload malpule	Positive
SA_TU_56	oii full movie upload malpuve mare	Positive
SA_TU_57	prashamsa leka ijji	Neutral
SA_TU_58	awwesomeeth sala kendena i dont even knowwawesome song	Neutral
SA_TU_59	dude pukkulii means something else in mangloreudupians language 😂😂✌️	Not Tulu
SA_TU_60	love all your videoseven vlog	Not Tulu
SA_TU_61	super  song  dada	Positive
SA_TU_62	manju shetty u r super	Not Tulu
SA_TU_63	arvind anne masseg korna yedde undu  kandani budeddhin yedded thunda samsara yedded uppundu 	Positive
SA_TU_64	pukuli nina ajjerma bvc	Neutral
SA_TU_65	nice team work  i like prashamsa	Not Tulu
SA_TU_66	err nerdh dumbuu korter comments	Neutral
SA_TU_67	tulu web series yedde prayathna yedde avad	Positive
SA_TU_68	vamanjur is the best❤👏👏👏👏	Not Tulu
SA_TU_69	ಹೋರಾಟ ಹೋರಾಟ ಸಂತು ಉಲಾಯಿ ಬರಮುಟ್ಟ ಹೋರಾಟ 😂😂	Neutral
SA_TU_70	1321 aaye mandebecchad kuda bayyag podu pardippe	Neutral
SA_TU_71	keep doing  silly  valuable vedios good job	Not Tulu
SA_TU_72	che pant parithunduye🤦🏻‍♂️ posath deth korle	Neutral
SA_TU_73	camera man naklenglisha telike kenglishund  haasya top level	Mixed
SA_TU_74	yena pookuli mayaaa kuuu😂😂😂	Neutral
SA_TU_75	ಚಿಕ್ಕು ಕೊನೆರೆ ಆಯೆ ಜ್ಯೂಸ್ ಅಂಗಡಿ ಪೊತುನತ್ತ್😂😂	Neutral
SA_TU_76	i like it	Not Tulu
SA_TU_77	papa yrla ayeg pukuli korle mare jor kakkus baidnandh ayeg	Neutral
SA_TU_78	super comedy nellu and team permannur	Not Tulu
SA_TU_79	arpith anna loved your hairstyle🤩🤭 you look like chris gayle lite 🤣	Not Tulu
SA_TU_80	ವಿನಯ ಅಣ್ಣ  ಕೋಮಿಡಿ  15ಮಿನಿಟ್  ಮಲಪೊಡು  	Mixed
SA_TU_81	yank starting da 2 min de gothand av white da gaadi arpit na ath andh	Mixed
SA_TU_82	"ಬಂಟ್ವಾಳ ತಾಲೂಕುಡು ತುಲು ಲಿಪಿ ಕಲ್ಪುನಕಲೆಗ್ ಒಂಜಿ‌ ಅವಕಾಸೊ

 
   
  "	Neutral
SA_TU_83	415 428 440 445😂  super punching comedy 😁😁jp thuminadu	Positive
